source_no,title,source_url,publisher,publication_date,acquired_at,version,effective_date,expiry_date,authority_status,country,jurisdiction,language,document_type,authority_level,license_note,license_url,local_path,answerable,manually_verified,review_status,parser_version,checksum,notes,data_class,source_type,actually_downloaded,contains_personal_data,minimization_rule,translation_provider,translation_model,translation_version
SRC-OFFICIAL-CN-007,中华人民共和国民法典,https://www.beijing.gov.cn/zhengce/zhengcefagui/202006/t20200602_1913330.html,全国人民代表大会（北京市政府网站转载）,2020-05-28,2026-08-10,中华人民共和国主席令第四十五号,2021-01-01,,现行有效,CN,全国,zh-CN,civil_code,national_law,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://www.beijing.gov.cn/zhengce/zhengcefagui/202006/t20200602_1913330.html,official/china/national/src-official-cn-007.html,true,true,approved,html-structured-v2,ba5d1c9b11c88346c40ea06828d7f53f04f84dce0b057225da3ca1c90f0e2357,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-008,中华人民共和国消防法,https://www.samr.gov.cn/zw/zfxxgk/fdzdgknr/bgt/art/2023/art_e9e34f0731c249a891ea9c925e17f237.html,全国人民代表大会常务委员会（市场监管总局网站转载）,2021-04-29,2026-08-10,2021年修正文本,2021-04-29,,现行有效,CN,全国,zh-CN,fire_law,national_law,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://www.samr.gov.cn/zw/zfxxgk/fdzdgknr/bgt/art/2023/art_e9e34f0731c249a891ea9c925e17f237.html,official/china/national/src-official-cn-008.html,true,true,approved,html-structured-v2,e5c35759f2fe448d5af9a955a2041a3d6807256c83fc100b3a5dbfadf0745060,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-009,中华人民共和国特种设备安全法,https://www.samr.gov.cn/zw/zfxxgk/fdzdgknr/fgs/art/2023/art_ad5e293574484b48b45047ee0ede6099.html,全国人民代表大会常务委员会（市场监管总局网站转载）,2013-06-29,2026-08-10,中华人民共和国主席令第四号,2014-01-01,,现行有效,CN,全国,zh-CN,special_equipment_law,national_law,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://www.samr.gov.cn/zw/zfxxgk/fdzdgknr/fgs/art/2023/art_ad5e293574484b48b45047ee0ede6099.html,official/china/national/src-official-cn-009.html,true,true,approved,html-structured-v2,4196e8a3f7f5e5f00048ac93987b3b997381093b6cf41cbb0b3b5f12c7980ea0,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-010,特种设备安全监察条例,https://www.beijing.gov.cn/zhengce/zhengcefagui/qtwj/201912/t20191211_1054966.html,国务院（北京市政府网站转载）,2009-01-24,2026-08-10,国务院令第549号,2009-05-01,,现行有效,CN,全国,zh-CN,special_equipment_regulation,national_regulation,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://www.beijing.gov.cn/zhengce/zhengcefagui/qtwj/201912/t20191211_1054966.html,official/china/national/src-official-cn-010.html,true,true,approved,html-structured-v2,b249d0a5da38f8b9ec7b81f90cf300a06e252c8e4315a74f5cdd4cd8034e2829,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-011,城市供水条例,https://www.beijing.gov.cn/zhengce/zhengcefagui/qtwj/202307/t20230719_3165984.html,国务院（北京市政府网站转载）,2020-03-27,2026-08-10,2020年修订文本,2020-03-27,,现行有效,CN,全国,zh-CN,water_supply_regulation,national_regulation,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://www.beijing.gov.cn/zhengce/zhengcefagui/qtwj/202307/t20230719_3165984.html,official/china/national/src-official-cn-011.html,true,true,approved,html-structured-v2,97d8ce24fcbd5c5f694013b8f59c885b4385046176d1885850e5d50ac59e1e89,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-012,城镇燃气管理条例,https://www.beijing.gov.cn/zhengce/zhengcefagui/qtwj/201011/t20101125_780917.html,国务院（北京市政府网站转载）,2010-11-19,2026-08-10,国务院令第583号,2011-03-01,,现行有效,CN,全国,zh-CN,gas_regulation,national_regulation,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://www.beijing.gov.cn/zhengce/zhengcefagui/qtwj/201011/t20101125_780917.html,official/china/national/src-official-cn-012.html,true,true,approved,html-structured-v2,37185b603def293731336caf922a34b1fe9dd685d8f6f211dcc281e9d2534a16,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-013,物业服务收费管理办法,https://www.samr.gov.cn/zw/zfxxgk/fdzdgknr/jls/art/2023/art_5ad02160f902480ea2a63c5bc85e7ae1.html,国家发展改革委、原建设部（市场监管总局网站）,2003-11-13,2026-08-10,发改价格〔2003〕1864号,2004-01-01,,现行政策文件,CN,全国,zh-CN,property_fee_rule,national_department_rule,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://www.samr.gov.cn/zw/zfxxgk/fdzdgknr/jls/art/2023/art_5ad02160f902480ea2a63c5bc85e7ae1.html,official/china/national/src-official-cn-013.html,true,true,approved,html-structured-v2,e08180d7942b97b5bf0fc3cdac504d49aecb60948254b9b4378e7a7254edb190,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-014,物业服务收费明码标价规定,https://www.ndrc.gov.cn/xxgk/zcfb/tz/200912/t20091222_965776_ext.html,国家发展改革委、原建设部,2004-07-19,2026-08-10,发改价检〔2004〕1428号,2004-10-01,,现行政策文件,CN,全国,zh-CN,price_disclosure_rule,national_department_rule,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/200912/t20091222_965776_ext.html,official/china/national/src-official-cn-014.html,true,true,approved,html-structured-v2,c6490a1c859e33614701be7514b602b2fd1aaa7e2120c836fbb8229dfc8b7d02,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-015,中华人民共和国噪声污染防治法,https://flk.npc.gov.cn/detail?fileId=&id=ff8081817dea9c18017deb70ddc70131&type=,全国人民代表大会常务委员会,2021-12-24,2026-08-10,中华人民共和国主席令第一〇四号,2022-06-05,,现行有效,CN,全国,zh-CN,noise_law,national_law,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://flk.npc.gov.cn/detail?fileId=&id=ff8081817dea9c18017deb70ddc70131&type=,official/china/national/src-official-cn-015.html,true,true,approved,html-structured-v2,4b576b492ac486fddeb0a4c775e3e008ec5af1ff22f79a483e9ab617e31b04b1,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-016,关于推动12345政务服务便民热线与110报警服务台高效对接联动的意见,https://www.beijing.gov.cn/zhengce/gwywj/202205/t20220516_2711529.html,国务院办公厅（北京市政府网站转载）,2022-05-16,2026-08-10,国办发〔2022〕12号,2022-05-16,,现行政策文件,CN,全国,zh-CN,complaint_process,national_policy,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://www.beijing.gov.cn/zhengce/gwywj/202205/t20220516_2711529.html,official/china/national/src-official-cn-016.html,true,true,approved,html-structured-v2,7aa46fe84b5dc2f03b8f1144ecbfb19cb094f30b33d5b0fd02d62f7fe854893d,,KB_POLICY,official_public_document,true,false,,,,
