source_no,source_url,allowed_host,allowed_redirect_hosts,expected_mime,expected_signature,min_bytes,max_bytes,destination
SRC-OFFICIAL-CN-007,https://www.beijing.gov.cn/zhengce/zhengcefagui/202006/t20200602_1913330.html,www.beijing.gov.cn,www.beijing.gov.cn,text/html,html,300,31457280,official/china/national/src-official-cn-007.html
SRC-OFFICIAL-CN-008,https://www.samr.gov.cn/zw/zfxxgk/fdzdgknr/bgt/art/2023/art_e9e34f0731c249a891ea9c925e17f237.html,www.samr.gov.cn,www.samr.gov.cn,text/html,html,300,31457280,official/china/national/src-official-cn-008.html
SRC-OFFICIAL-CN-009,https://www.samr.gov.cn/zw/zfxxgk/fdzdgknr/fgs/art/2023/art_ad5e293574484b48b45047ee0ede6099.html,www.samr.gov.cn,www.samr.gov.cn,text/html,html,300,31457280,official/china/national/src-official-cn-009.html
SRC-OFFICIAL-CN-010,https://www.beijing.gov.cn/zhengce/zhengcefagui/qtwj/201912/t20191211_1054966.html,www.beijing.gov.cn,www.beijing.gov.cn,text/html,html,300,31457280,official/china/national/src-official-cn-010.html
SRC-OFFICIAL-CN-011,https://www.beijing.gov.cn/zhengce/zhengcefagui/qtwj/202307/t20230719_3165984.html,www.beijing.gov.cn,www.beijing.gov.cn,text/html,html,300,31457280,official/china/national/src-official-cn-011.html
SRC-OFFICIAL-CN-012,https://www.beijing.gov.cn/zhengce/zhengcefagui/qtwj/201011/t20101125_780917.html,www.beijing.gov.cn,www.beijing.gov.cn,text/html,html,300,31457280,official/china/national/src-official-cn-012.html
SRC-OFFICIAL-CN-013,https://www.samr.gov.cn/zw/zfxxgk/fdzdgknr/jls/art/2023/art_5ad02160f902480ea2a63c5bc85e7ae1.html,www.samr.gov.cn,www.samr.gov.cn,text/html,html,300,31457280,official/china/national/src-official-cn-013.html
SRC-OFFICIAL-CN-014,https://www.ndrc.gov.cn/xxgk/zcfb/tz/200912/t20091222_965776_ext.html,www.ndrc.gov.cn,www.ndrc.gov.cn,text/html,html,300,31457280,official/china/national/src-official-cn-014.html
SRC-OFFICIAL-CN-015,https://flk.npc.gov.cn/detail?fileId=&id=ff8081817dea9c18017deb70ddc70131&type=,flk.npc.gov.cn,flk.npc.gov.cn,text/html,html,300,31457280,official/china/national/src-official-cn-015.html
SRC-OFFICIAL-CN-016,https://www.beijing.gov.cn/zhengce/gwywj/202205/t20220516_2711529.html,www.beijing.gov.cn,www.beijing.gov.cn,text/html,html,300,31457280,official/china/national/src-official-cn-016.html
SRC-OFFICIAL-CN-017,https://www.gov.cn/zhengce/zhengceku/202306/content_6885666.htm,www.gov.cn,www.gov.cn,text/html,html,300,31457280,official/china/national/src-official-cn-017.html
SRC-OFFICIAL-CN-018,https://www.mohurd.gov.cn/file/2022/20220228/8e2304b2-9f66-426b-ab25-6eda86fa0f67.pdf,www.mohurd.gov.cn,www.mohurd.gov.cn,application/pdf,pdf,300,31457280,official/china/national/src-official-cn-018.pdf
SRC-OFFICIAL-CN-019,https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/gz11/202106/P020211228721655794602.pdf,www.mem.gov.cn,www.mem.gov.cn,application/pdf,pdf,300,31457280,official/china/national/src-official-cn-019.pdf
SRC-OFFICIAL-CN-020,https://zjw.beijing.gov.cn/bjjs/xxgk/543346069/543346064/325733100/index.shtml,zjw.beijing.gov.cn,zjw.beijing.gov.cn,text/html,html,300,31457280,official/china/national/src-official-cn-020.html
SRC-OFFICIAL-CN-BJ-003,https://www.beijing.gov.cn/zhengce/dfxfg/202404/t20240401_3607249.html,www.beijing.gov.cn,www.beijing.gov.cn,text/html,html,300,31457280,official/china/beijing/src-official-cn-bj-003.html
SRC-OFFICIAL-CN-BJ-004,https://www.beijing.gov.cn/zhengce/zcjd/202004/t20200401_1781920.html,www.beijing.gov.cn,www.beijing.gov.cn,text/html,html,300,31457280,official/china/beijing/src-official-cn-bj-004.html
SRC-OFFICIAL-CN-BJ-005,https://bzh.scjgj.beijing.gov.cn/bzh/apifile/file/2025/20250709/88e1be81-0a3b-4193-9cae-a506c0d9874a.pdf,bzh.scjgj.beijing.gov.cn,bzh.scjgj.beijing.gov.cn,application/pdf,pdf,300,31457280,official/china/beijing/src-official-cn-bj-005.pdf
SRC-OFFICIAL-CN-BJ-006,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/gfxwj40/xxyx/436468388/index.shtml,zjw.beijing.gov.cn,zjw.beijing.gov.cn,text/html,html,300,31457280,official/china/beijing/src-official-cn-bj-006.html
SRC-OFFICIAL-CN-BJ-007,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/gfxwj40/xxyx/436460235/index.shtml,zjw.beijing.gov.cn,zjw.beijing.gov.cn,text/html,html,300,31457280,official/china/beijing/src-official-cn-bj-007.html
SRC-OFFICIAL-CN-BJ-008,https://banshi.beijing.gov.cn/pubtask/task/1/110102000000/1be1171c-df7b-4dc2-8f6f-9791b4232c71.html,banshi.beijing.gov.cn,banshi.beijing.gov.cn,text/html,html,300,31457280,official/china/beijing/src-official-cn-bj-008.html
SRC-OFFICIAL-CN-BJ-009,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/qtzcwj/xxyx13/743671809/index.shtml,zjw.beijing.gov.cn,zjw.beijing.gov.cn,text/html,html,300,31457280,official/china/beijing/src-official-cn-bj-009.html
SRC-OFFICIAL-CN-BJ-010,https://gjj.beijing.gov.cn/web/zwgk61/2024zcwj/436433464/436433468/743678786/index.html,gjj.beijing.gov.cn,gjj.beijing.gov.cn,text/html,html,300,31457280,official/china/beijing/src-official-cn-bj-010.html
SRC-OFFICIAL-CN-BJ-011,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/gfxwj40/xxyx/436468220/index.shtml,zjw.beijing.gov.cn,zjw.beijing.gov.cn,text/html,html,300,31457280,official/china/beijing/src-official-cn-bj-011.html
SRC-OFFICIAL-CN-BJ-012,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/gfxwj40/xxyx/436468215/index.shtml,zjw.beijing.gov.cn,zjw.beijing.gov.cn,text/html,html,300,31457280,official/china/beijing/src-official-cn-bj-012.html
SRC-OFFICIAL-CN-BJ-013,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/gfxwj40/xxyx/436468187/index.shtml,zjw.beijing.gov.cn,zjw.beijing.gov.cn,text/html,html,300,31457280,official/china/beijing/src-official-cn-bj-013.html
