source_no,url,allowed_host,expected_content_type,destination
SRC-OFFICIAL-GB-001,https://www.housing-ombudsman.org.uk/app/uploads/2024/09/03.Complaint-Handling-Code-24.pdf,www.housing-ombudsman.org.uk,application/pdf,official/international/gb_complaint_handling_code_2024.pdf
SRC-OFFICIAL-GLOBAL-001,https://wiki.open311.org/GeoReport_v2/,wiki.open311.org,text/html,official/international/open311_georeport_v2.html
SRC-OFFICIAL-CN-006,https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/gz11/202106/P020211228721655794602.pdf,www.mem.gov.cn,application/pdf,official/china/highrise_building_fire_safety.pdf
SRC-OFFICIAL-CN-BJ-001,https://www.beijing.gov.cn/zhengce/zhengcefagui/qtwj/202204/t20220414_2676926.html,www.beijing.gov.cn,text/html,official/china/beijing_property_fire_safety_notice.html
SRC-OFFICIAL-CN-BJ-002,https://bzh.scjgj.beijing.gov.cn/bzh/apifile/file/2025/20250709/88e1be81-0a3b-4193-9cae-a506c0d9874a.pdf,bzh.scjgj.beijing.gov.cn,application/pdf,official/china/beijing_residential_property_service_standard_2025.pdf
SRC-OFFICIAL-GB-002,https://www.gov.uk/guidance/how-to-report-a-problem-or-make-an-individual-complaint-about-your-social-housing-landlord,www.gov.uk,text/html,official/international/gb_report_social_housing_landlord.html
SRC-OFFICIAL-GB-003,https://www.gov.uk/government/publications/awaabs-law-guidance-for-social-landlords/awaabs-law-guidance-for-social-landlords-timeframes-for-repairs-in-the-social-rented-sector,www.gov.uk,text/html,official/international/gb_awaabs_law_repair_timeframes.html
SRC-OFFICIAL-GB-004,https://www.gov.uk/guidance/social-housing-complaints-make-things-right,www.gov.uk,text/html,official/international/gb_social_housing_complaints.html
SRC-OFFICIAL-GB-005,https://www.gov.uk/guidance/regulator-of-social-housing-and-housing-ombudsman-service-factsheet,www.gov.uk,text/html,official/international/gb_regulator_ombudsman_factsheet.html
SRC-OFFICIAL-GB-006,https://www.housing-ombudsman.org.uk/reports/spotlight-reports/spotlight-on-damp-and-mould/follow-up-spotlight-on-damp-and-mould/,www.housing-ombudsman.org.uk,text/html,official/international/gb_damp_mould_followup.html
SRC-OFFICIAL-AU-NSW-001,https://www.nsw.gov.au/housing-and-construction/rules/landlord-obligations-and-responsibilities-for-rental-properties,www.nsw.gov.au,text/html,official/international/au_nsw_landlord_repair_obligations.html
SRC-OFFICIAL-AU-NSW-002,https://www.nsw.gov.au/housing-and-construction/renting-a-place-to-live/getting-repairs-done,www.nsw.gov.au,text/html,official/international/au_nsw_getting_repairs_done.html
SRC-OFFICIAL-AU-NSW-003,https://www.nsw.gov.au/housing-and-construction/strata/living/repairs-and-maintenance,www.nsw.gov.au,text/html,official/international/au_nsw_strata_repairs_maintenance.html
SRC-OFFICIAL-AU-NSW-004,https://www.nsw.gov.au/housing-and-construction/strata/strata-complaints,www.nsw.gov.au,text/html,official/international/au_nsw_strata_manager_complaints.html
SRC-OFFICIAL-AU-NSW-005,https://www.nsw.gov.au/housing-and-construction/strata/disputes,www.nsw.gov.au,text/html,official/international/au_nsw_strata_disputes.html
SRC-OFFICIAL-AU-VIC-001,https://www.consumer.vic.gov.au/housing/renting/repairs-alterations-safety-and-pets/repairs/repairs-in-rental-properties,www.consumer.vic.gov.au,text/html,official/international/au_vic_rental_repairs.html
SRC-OFFICIAL-AU-VIC-002,https://www.consumer.vic.gov.au/resources-and-tools/advice-in-a-disaster/renting,www.consumer.vic.gov.au,text/html,official/international/au_vic_renting_disaster_advice.html
SRC-OFFICIAL-NZ-001,https://www.tenancy.govt.nz/maintenance-and-inspections/damage-and-repairs/,www.tenancy.govt.nz,text/html,official/international/nz_damage_and_repairs.html
SRC-OFFICIAL-NZ-002,https://www.tenancy.govt.nz/maintenance-and-inspections/regular-maintenance/,www.tenancy.govt.nz,text/html,official/international/nz_property_maintenance.html
SRC-OFFICIAL-NZ-003,https://www.tenancy.govt.nz/maintenance-and-inspections/damage-and-repairs/what-to-do-after-a-natural-disaster/,www.tenancy.govt.nz,text/html,official/international/nz_natural_disaster_repairs.html
SRC-OFFICIAL-NZ-004,https://www.tenancy.govt.nz/assets/Uploads/landlord-guide-to-the-healthy-homes-standards-use-this-guide-to-make-sure-your-rental-is-healthy-and-stays-that-way.pdf,www.tenancy.govt.nz,application/pdf,official/international/nz_healthy_homes_landlord_guide.pdf
SRC-OFFICIAL-NZ-005,https://www.tenancy.govt.nz/assets/forms-templates/landlord-compliance-checklist.pdf,www.tenancy.govt.nz,application/pdf,official/international/nz_landlord_compliance_checklist.pdf
